Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC,CV Mean,CV Std
Logistic Regression,0.8032786885245902,0.7692307692307693,0.9090909090909091,0.8333333333333334,0.8690476190476191,0.8308673469387754,0.04093078481123406
Decision Tree,0.7049180327868853,0.7027027027027027,0.7878787878787878,0.7428571428571429,0.6975108225108225,0.7316326530612245,0.03969039442831873
Random Forest,0.8360655737704918,0.7804878048780488,0.9696969696969697,0.8648648648648649,0.9090909090909092,0.8308673469387754,0.046863231627757816
Gradient Boosting,0.819672131147541,0.7894736842105263,0.9090909090909091,0.8450704225352113,0.8787878787878788,0.8020408163265307,0.0646798691171955
SVM,0.819672131147541,0.775,0.9393939393939394,0.8493150684931506,0.8831168831168832,0.8019557823129251,0.03875293978509415
KNN,0.8032786885245902,0.7692307692307693,0.9090909090909091,0.8333333333333334,0.8630952380952381,0.8017857142857142,0.026844902751531514
XGBoost,0.8032786885245902,0.7560975609756098,0.9393939393939394,0.8378378378378378,0.8560606060606061,0.7895408163265306,0.04038175687263607
