Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Logistic Regression,0.7465753424657534,0.1384083044982699,0.8,0.2359882005899705,0.8389711934156379
Decision Tree,0.9334637964774951,0.2,0.12,0.15,0.5476543209876544
Random Forest,0.9422700587084148,0.15384615384615385,0.04,0.06349206349206349,0.7920164609053497
Gradient Boosting,0.8170254403131115,0.16908212560386474,0.7,0.2723735408560311,0.8215946502057614
SVM,0.7485322896281801,0.11524163568773234,0.62,0.19435736677115986,0.7745267489711934
XGBoost,0.9393346379647749,0.3,0.18,0.225,0.7852674897119342
