Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC,CV Mean,CV Std
Logistic Regression,0.7077922077922078,0.6,0.5,0.5454545454545454,0.812962962962963,0.7817939490870318,0.012452206244262123
Decision Tree,0.6818181818181818,0.5531914893617021,0.48148148148148145,0.5148514851485149,0.6357407407407407,0.6873117419698789,0.015606538473620068
Random Forest,0.7792207792207793,0.717391304347826,0.6111111111111112,0.66,0.8178703703703704,0.7687724910035986,0.033686440359456074
Gradient Boosting,0.7597402597402597,0.6888888888888889,0.5740740740740741,0.6262626262626263,0.8303703703703703,0.7622284419565508,0.03133855174811623
SVM,0.7402597402597403,0.6521739130434783,0.5555555555555556,0.6,0.7963888888888889,0.7687591630014661,0.017891124038868386
KNN,0.7532467532467533,0.66,0.6111111111111112,0.6346153846153846,0.7886111111111112,0.7443822471011595,0.029674382957457352
XGBoost,0.7597402597402597,0.673469387755102,0.6111111111111112,0.6407766990291263,0.8081481481481482,0.7345994935359189,0.03185508500205547
